"year","dti"
1949,6875
1950,6812
1951,4375
1952,4687
1953,3437
1954,1312
1955,2000
1956,1875
1957,3812
1958,1000
1959,2125
1960,750
1961,1250
1962,500
1963,1250
1964,0
1965,0
1966,500
1967,12875
1968,2500
1969,1000
1970,812
1971,500
1972,0
1973,250
1974,1000
1975,750
1976,6312
1977,0
1978,500
1979,1625
1980,250
1981,125
1982,0
1983,0
1984,250
1985,125
1986,375
1987,1625
1988,1312
1989,2250
1990,2125
1991,0
1992,312
1993,937
1994,0
1995,375
1996,500
1997,1000
1998,2812
1999,1000
2000,875
2001,0
2002,625
2003,375
2004,2500
2005,875
2006,437
2007,125
2008,2500
2009,2125
2010,687
2011,7188
2012,9812
2013,8938
2014,20938
