"","name","unique_id","birth_province","birth_prefecture","birth_county","birth_year","birth_month","rural","ethnicity","participated_long_march","CCP_member_before_1949","second_field","parent_military","parent_military_rank","parent_long_march","parent_CCP_pre_1949","parent_CCP_leader","parent_CCP_leader_highest_position","highest_education","education","college1_name","college1_year","college1_foreign","college1_major","college2_name","college2_year","college2_foreign","college2_major","graduate_degree_1","graduate_university_name_1","graduate_graduated_year_1","graduate_university_foreign_1","graduate_major_1","cc1","cc2","cc3","cc4","cc5","cc6","cc7","cc8","cc9","cc10","cc11","cc12","cc13","cc14","cc15","cc16","cc17","cc18","cc19","cmc","cmc_spells","cmc_first","cmc_last","yuanshuai_year","shangjiang_year","zhongjiang_year","combat","general","general_rank","cc_full_member","cc_full_alt_member","politburo_member","general_xi","general_hu","general_jiang","general_deng","cc_xi","cc_hu","cc_jiang","cc_deng","cmc_xi","cmc_hu","cmc_jiang","cmc_deng","deng.network","jiang.network","hu.network","xi.network","xi.network.alt","jiang.network.alt","hu.network.alt","cmc_chair_connection","cmc_chair_connection_alt","cmc_chair_connection_current","cmc_chair_connection_current_alt","combat_post_1949","college","postgrad","commissar","minority","cohort_decade","post_deng","general_year","first_year","last_year","year","xi.office","hu.office","jiang.office","deng.office","xi.varying","hu.varying","jiang.varying","deng.varying","xi.varying.alt","hu.varying.alt","jiang.varying.alt","cmc_connection_varying","cmc_connection_varying_alt","general_varying","age","foreign","foreign2","foreign2000","foreign2001","foreign2002","foreign2003","domestic","domestic2","domestic1990","domestic1991","domestic1992","domestic1993","domestic2012","domestic2013","domestic2014","domestic2015","education_level"
"1-2001","丁一平","1","湖南","湘潭市","湘乡市",1951,2,0,"满族",0,NA,NA,1,"中将",1,1,1,"","党校",2,"海军指挥学院","1981","","舰艇指挥班","海军指挥学院","1987","","合成指挥班","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3110,3137,NA,NA,0,NA,NA,NA,NA,NA,2002,"",0,0,0,1,0,NA,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"5",1,NA,2001,2014,"2001",0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2
"1-2002","丁一平","1","湖南","湘潭市","湘乡市",1951,2,0,"满族",0,NA,NA,1,"中将",1,1,1,"","党校",2,"海军指挥学院","1981","","舰艇指挥班","海军指挥学院","1987","","合成指挥班","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3110,3137,NA,NA,0,NA,NA,NA,NA,NA,2002,"",0,0,0,1,0,NA,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"5",1,NA,2001,2014,"2002",0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2
"1-2003","丁一平","1","湖南","湘潭市","湘乡市",1951,2,0,"满族",0,NA,NA,1,"中将",1,1,1,"","党校",2,"海军指挥学院","1981","","舰艇指挥班","海军指挥学院","1987","","合成指挥班","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3110,3137,NA,NA,0,NA,NA,NA,NA,NA,2002,"",0,0,0,1,0,NA,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"5",1,NA,2001,2014,"2003",0,0,1,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1-2004","丁一平","1","湖南","湘潭市","湘乡市",1951,2,0,"满族",0,NA,NA,1,"中将",1,1,1,"","党校",2,"海军指挥学院","1981","","舰艇指挥班","海军指挥学院","1987","","合成指挥班","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3110,3137,NA,NA,0,NA,NA,NA,NA,NA,2002,"",0,0,0,1,0,NA,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"5",1,NA,2001,2014,"2004",0,1,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1-2005","丁一平","1","湖南","湘潭市","湘乡市",1951,2,0,"满族",0,NA,NA,1,"中将",1,1,1,"","党校",2,"海军指挥学院","1981","","舰艇指挥班","海军指挥学院","1987","","合成指挥班","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3110,3137,NA,NA,0,NA,NA,NA,NA,NA,2002,"",0,0,0,1,0,NA,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"5",1,NA,2001,2014,"2005",0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1-2006","丁一平","1","湖南","湘潭市","湘乡市",1951,2,0,"满族",0,NA,NA,1,"中将",1,1,1,"","党校",2,"海军指挥学院","1981","","舰艇指挥班","海军指挥学院","1987","","合成指挥班","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3110,3137,NA,NA,0,NA,NA,NA,NA,NA,2002,"",0,0,0,1,0,NA,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"5",1,NA,2001,2014,"2006",0,1,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1-2007","丁一平","1","湖南","湘潭市","湘乡市",1951,2,0,"满族",0,NA,NA,1,"中将",1,1,1,"","党校",2,"海军指挥学院","1981","","舰艇指挥班","海军指挥学院","1987","","合成指挥班","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3110,3137,NA,NA,0,NA,NA,NA,NA,NA,2002,"",0,0,0,1,0,NA,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"5",1,NA,2001,2014,"2007",0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1-2008","丁一平","1","湖南","湘潭市","湘乡市",1951,2,0,"满族",0,NA,NA,1,"中将",1,1,1,"","党校",2,"海军指挥学院","1981","","舰艇指挥班","海军指挥学院","1987","","合成指挥班","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3110,3137,NA,NA,0,NA,NA,NA,NA,NA,2002,"",0,0,0,1,0,NA,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"5",1,NA,2001,2014,"2008",0,1,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1-2009","丁一平","1","湖南","湘潭市","湘乡市",1951,2,0,"满族",0,NA,NA,1,"中将",1,1,1,"","党校",2,"海军指挥学院","1981","","舰艇指挥班","海军指挥学院","1987","","合成指挥班","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3110,3137,NA,NA,0,NA,NA,NA,NA,NA,2002,"",0,0,0,1,0,NA,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"5",1,NA,2001,2014,"2009",0,1,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1-2010","丁一平","1","湖南","湘潭市","湘乡市",1951,2,0,"满族",0,NA,NA,1,"中将",1,1,1,"","党校",2,"海军指挥学院","1981","","舰艇指挥班","海军指挥学院","1987","","合成指挥班","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3110,3137,NA,NA,0,NA,NA,NA,NA,NA,2002,"",0,0,0,1,0,NA,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"5",1,NA,2001,2014,"2010",0,1,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
